poi_lon,poi_lat,count
-324882.7654,4475352.738,6
-324885.0321,4475350.148,6
-333719.739,4464078.559,6
-319127.9602,4478288.638,6
-319010.7698,4477482.985,6
-324884.8639,4475331.409,6
-333716.0438,4464078.073,6
-314746.6762,4469508.288,6
-324866.2518,4475357.139,6
-319003.2137,4477497.953,6
-325261.4932,4474399.934,6
-326466.3204,4473566.092,6
-325364.7647,4461611.923,6
-326485.7274,4473566.652,5
-318889.957,4482058.029,5
-323347.847,4468559.095,5
-328863.9563,4472082.226,5
-327978.0822,4470891.377,5
-326998.9681,4483165.358,5
-325511.7681,4473536.76,5
-319179.044,4476169.216,5
-326486.2718,4473573.47,5
-326976.584,4483170.13,5
-326490.1534,4473585.654,5
-324485.2525,4468360.82,5
-326487.4541,4473559.429,5
-324649.7327,4481812.237,5
-334626.6366,4469567.678,5
-322847.2015,4471756.921,5
-328790.932,4473244.303,5
-324865.161,4475443.151,4
-326357.3915,4472572.209,4
-324563.8032,4468336.567,4
-331058.8906,4475078.316,4
-326491.881,4473603.9,4
-49998.64827,3588302.05,4
-325721.17,4467547.535,4
-333710.3877,4464077.506,4
-328626.6925,4472653.074,4
-324589.4537,4468327.516,4
-324069.9344,4474479.609,4
-324854.7804,4475334.596,4
-331061.8809,4474874.181,4
-322949.7002,4471455.667,4
-325095.97,4474174.989,3
-324846.1195,4475362.394,3
-328033.2874,4470870.968,3
-329824.4452,4468641.892,3
-325030.8877,4473954.453,3
-328055.1933,4468533.202,3
-319181.117,4476106.456,3
-323804.0155,4468388.416,3
-328055.8156,4468430.867,3
-297760.1424,4484752.253,3
-320266.666,4473676.251,3
-324834.9478,4476141.677,3
-331078.011,4474874.527,3
